Latitude UTM (m),Longitude UTM (m)
225437.0,2798152.0
225437.0,2799152.0
225437.0,2800152.0
225437.0,2801152.0
225437.0,2802152.0
225437.0,2803152.0
225437.0,2804152.0
225437.0,2805152.0
225437.0,2806152.0
225437.0,2807152.0
225437.0,2808152.0
225437.0,2809152.0
225437.0,2810152.0
225437.0,2811152.0
225437.0,2812152.0
225437.0,2813152.0
225437.0,2814152.0
225437.0,2815152.0
225437.0,2816152.0
225437.0,2817152.0
225437.0,2818152.0
225437.0,2819152.0
225437.0,2820152.0
225437.0,2821152.0
225437.0,2822152.0
225437.0,2823152.0
225437.0,2824152.0
225437.0,2825152.0
225437.0,2826152.0
225437.0,2827152.0
225437.0,2828152.0
225437.0,2829152.0
225437.0,2830152.0
225437.0,2831152.0
225437.0,2832152.0
225437.0,2833152.0
225437.0,2834152.0
225437.0,2835152.0
225437.0,2836152.0
225437.0,2837152.0
225437.0,2838152.0
225437.0,2839152.0
225437.0,2840152.0
225437.0,2841152.0
225437.0,2842152.0
225437.0,2843152.0
225437.0,2844152.0
225437.0,2845152.0
225437.0,2846152.0
225437.0,2847152.0
225437.0,2848152.0
225437.0,2849152.0
225437.0,2850152.0
225437.0,2851152.0
225437.0,2852152.0
225437.0,2853152.0
225437.0,2854152.0
225437.0,2855152.0
225437.0,2856152.0
225437.0,2857152.0
225437.0,2858152.0
225437.0,2859152.0
226437.0,2791152.0
226437.0,2792152.0
226437.0,2793152.0
226437.0,2794152.0
226437.0,2795152.0
226437.0,2796152.0
226437.0,2797152.0
226437.0,2798152.0
226437.0,2799152.0
226437.0,2800152.0
226437.0,2801152.0
226437.0,2802152.0
226437.0,2803152.0
226437.0,2804152.0
226437.0,2805152.0
226437.0,2806152.0
226437.0,2807152.0
226437.0,2808152.0
226437.0,2809152.0
226437.0,2810152.0
226437.0,2811152.0
226437.0,2812152.0
226437.0,2813152.0
226437.0,2814152.0
226437.0,2815152.0
226437.0,2816152.0
226437.0,2817152.0
226437.0,2818152.0
226437.0,2819152.0
226437.0,2820152.0
226437.0,2821152.0
226437.0,2822152.0
226437.0,2823152.0
226437.0,2824152.0
226437.0,2825152.0
226437.0,2826152.0
226437.0,2827152.0
226437.0,2828152.0
226437.0,2829152.0
226437.0,2830152.0
226437.0,2831152.0
226437.0,2832152.0
226437.0,2833152.0
226437.0,2834152.0
226437.0,2835152.0
226437.0,2836152.0
226437.0,2837152.0
226437.0,2838152.0
226437.0,2839152.0
226437.0,2840152.0
226437.0,2841152.0
226437.0,2842152.0
226437.0,2843152.0
226437.0,2844152.0
226437.0,2845152.0
226437.0,2846152.0
226437.0,2847152.0
226437.0,2848152.0
226437.0,2849152.0
226437.0,2850152.0
226437.0,2851152.0
226437.0,2852152.0
226437.0,2853152.0
226437.0,2854152.0
226437.0,2855152.0
226437.0,2856152.0
226437.0,2857152.0
226437.0,2858152.0
226437.0,2859152.0
226437.0,2860152.0
226437.0,2861152.0
226437.0,2862152.0
227437.0,2791152.0
227437.0,2792152.0
227437.0,2793152.0
227437.0,2794152.0
227437.0,2795152.0
227437.0,2796152.0
227437.0,2797152.0
227437.0,2798152.0
227437.0,2799152.0
227437.0,2800152.0
227437.0,2801152.0
227437.0,2802152.0
227437.0,2803152.0
227437.0,2804152.0
227437.0,2805152.0
227437.0,2806152.0
227437.0,2807152.0
227437.0,2808152.0
227437.0,2809152.0
227437.0,2810152.0
227437.0,2811152.0
227437.0,2812152.0
227437.0,2813152.0
227437.0,2814152.0
227437.0,2815152.0
227437.0,2816152.0
227437.0,2817152.0
227437.0,2818152.0
227437.0,2819152.0
227437.0,2820152.0
227437.0,2821152.0
227437.0,2822152.0
227437.0,2823152.0
227437.0,2824152.0
227437.0,2825152.0
227437.0,2826152.0
227437.0,2827152.0
227437.0,2828152.0
227437.0,2829152.0
227437.0,2830152.0
227437.0,2831152.0
227437.0,2832152.0
227437.0,2833152.0
227437.0,2834152.0
227437.0,2835152.0
227437.0,2836152.0
227437.0,2837152.0
227437.0,2838152.0
227437.0,2839152.0
227437.0,2840152.0
227437.0,2841152.0
227437.0,2842152.0
227437.0,2843152.0
227437.0,2844152.0
227437.0,2845152.0
227437.0,2846152.0
227437.0,2847152.0
227437.0,2848152.0
227437.0,2849152.0
227437.0,2850152.0
227437.0,2851152.0
227437.0,2852152.0
227437.0,2853152.0
227437.0,2854152.0
227437.0,2855152.0
227437.0,2856152.0
227437.0,2857152.0
227437.0,2858152.0
227437.0,2859152.0
227437.0,2860152.0
227437.0,2861152.0
227437.0,2862152.0
228437.0,2790152.0
228437.0,2791152.0
228437.0,2792152.0
228437.0,2793152.0
228437.0,2794152.0
228437.0,2795152.0
228437.0,2796152.0
228437.0,2797152.0
228437.0,2798152.0
228437.0,2799152.0
228437.0,2800152.0
228437.0,2801152.0
228437.0,2802152.0
228437.0,2803152.0
228437.0,2804152.0
228437.0,2805152.0
228437.0,2806152.0
228437.0,2807152.0
228437.0,2808152.0
228437.0,2809152.0
228437.0,2810152.0
228437.0,2811152.0
228437.0,2812152.0
228437.0,2813152.0
228437.0,2814152.0
228437.0,2815152.0
228437.0,2816152.0
228437.0,2817152.0
228437.0,2818152.0
228437.0,2819152.0
228437.0,2820152.0
228437.0,2821152.0
228437.0,2822152.0
228437.0,2823152.0
228437.0,2824152.0
228437.0,2825152.0
228437.0,2826152.0
228437.0,2827152.0
228437.0,2828152.0
228437.0,2829152.0
228437.0,2830152.0
228437.0,2831152.0
228437.0,2832152.0
228437.0,2833152.0
228437.0,2834152.0
228437.0,2835152.0
228437.0,2836152.0
228437.0,2837152.0
228437.0,2838152.0
228437.0,2839152.0
228437.0,2840152.0
228437.0,2841152.0
228437.0,2842152.0
228437.0,2843152.0
228437.0,2844152.0
228437.0,2845152.0
228437.0,2846152.0
228437.0,2847152.0
228437.0,2848152.0
228437.0,2849152.0
228437.0,2850152.0
228437.0,2851152.0
228437.0,2852152.0
228437.0,2853152.0
228437.0,2854152.0
228437.0,2855152.0
228437.0,2856152.0
228437.0,2857152.0
228437.0,2858152.0
228437.0,2859152.0
228437.0,2860152.0
228437.0,2861152.0
228437.0,2862152.0
228437.0,2863152.0
229437.0,2790152.0
229437.0,2791152.0
229437.0,2792152.0
229437.0,2793152.0
229437.0,2794152.0
229437.0,2795152.0
229437.0,2796152.0
229437.0,2797152.0
229437.0,2798152.0
229437.0,2799152.0
229437.0,2800152.0
229437.0,2801152.0
229437.0,2802152.0
229437.0,2803152.0
229437.0,2804152.0
229437.0,2805152.0
229437.0,2806152.0
229437.0,2807152.0
229437.0,2808152.0
229437.0,2809152.0
229437.0,2810152.0
229437.0,2811152.0
229437.0,2812152.0
229437.0,2813152.0
229437.0,2814152.0
229437.0,2815152.0
229437.0,2816152.0
229437.0,2817152.0
229437.0,2818152.0
229437.0,2819152.0
229437.0,2820152.0
229437.0,2821152.0
229437.0,2822152.0
229437.0,2823152.0
229437.0,2824152.0
229437.0,2825152.0
229437.0,2826152.0
229437.0,2827152.0
229437.0,2828152.0
229437.0,2829152.0
229437.0,2830152.0
229437.0,2831152.0
229437.0,2832152.0
229437.0,2833152.0
229437.0,2834152.0
229437.0,2835152.0
229437.0,2836152.0
229437.0,2837152.0
229437.0,2838152.0
229437.0,2839152.0
229437.0,2840152.0
229437.0,2841152.0
229437.0,2842152.0
229437.0,2843152.0
229437.0,2844152.0
229437.0,2845152.0
229437.0,2846152.0
229437.0,2847152.0
229437.0,2848152.0
229437.0,2849152.0
229437.0,2850152.0
229437.0,2851152.0
229437.0,2852152.0
229437.0,2853152.0
229437.0,2854152.0
229437.0,2855152.0
229437.0,2856152.0
229437.0,2857152.0
229437.0,2858152.0
229437.0,2859152.0
229437.0,2860152.0
229437.0,2861152.0
229437.0,2862152.0
229437.0,2863152.0
230437.0,2790152.0
230437.0,2791152.0
230437.0,2792152.0
230437.0,2793152.0
230437.0,2794152.0
230437.0,2795152.0
230437.0,2796152.0
230437.0,2797152.0
230437.0,2798152.0
230437.0,2799152.0
230437.0,2800152.0
230437.0,2801152.0
230437.0,2802152.0
230437.0,2803152.0
230437.0,2804152.0
230437.0,2805152.0
230437.0,2806152.0
230437.0,2807152.0
230437.0,2808152.0
230437.0,2809152.0
230437.0,2810152.0
230437.0,2811152.0
230437.0,2812152.0
230437.0,2813152.0
230437.0,2814152.0
230437.0,2815152.0
230437.0,2816152.0
230437.0,2817152.0
230437.0,2818152.0
230437.0,2819152.0
230437.0,2820152.0
230437.0,2821152.0
230437.0,2822152.0
230437.0,2823152.0
230437.0,2824152.0
230437.0,2825152.0
230437.0,2826152.0
230437.0,2827152.0
230437.0,2828152.0
230437.0,2829152.0
230437.0,2830152.0
230437.0,2831152.0
230437.0,2832152.0
230437.0,2833152.0
230437.0,2834152.0
230437.0,2835152.0
230437.0,2836152.0
230437.0,2837152.0
230437.0,2838152.0
230437.0,2839152.0
230437.0,2840152.0
230437.0,2841152.0
230437.0,2842152.0
230437.0,2843152.0
230437.0,2844152.0
230437.0,2845152.0
230437.0,2846152.0
230437.0,2847152.0
230437.0,2848152.0
230437.0,2849152.0
230437.0,2850152.0
230437.0,2851152.0
230437.0,2852152.0
230437.0,2853152.0
230437.0,2854152.0
230437.0,2855152.0
230437.0,2856152.0
230437.0,2857152.0
230437.0,2858152.0
230437.0,2859152.0
230437.0,2860152.0
230437.0,2861152.0
230437.0,2862152.0
230437.0,2863152.0
230437.0,2864152.0
231437.0,2789152.0
231437.0,2790152.0
231437.0,2791152.0
231437.0,2792152.0
231437.0,2793152.0
231437.0,2794152.0
231437.0,2795152.0
231437.0,2796152.0
231437.0,2797152.0
231437.0,2798152.0
231437.0,2799152.0
231437.0,2800152.0
231437.0,2801152.0
231437.0,2802152.0
231437.0,2803152.0
231437.0,2804152.0
231437.0,2805152.0
231437.0,2806152.0
231437.0,2807152.0
231437.0,2808152.0
231437.0,2809152.0
231437.0,2810152.0
231437.0,2811152.0
231437.0,2812152.0
231437.0,2813152.0
231437.0,2814152.0
231437.0,2815152.0
231437.0,2816152.0
231437.0,2817152.0
231437.0,2818152.0
231437.0,2819152.0
231437.0,2820152.0
231437.0,2821152.0
231437.0,2822152.0
231437.0,2823152.0
231437.0,2824152.0
231437.0,2825152.0
231437.0,2826152.0
231437.0,2827152.0
231437.0,2828152.0
231437.0,2829152.0
231437.0,2830152.0
231437.0,2831152.0
231437.0,2832152.0
231437.0,2833152.0
231437.0,2834152.0
231437.0,2835152.0
231437.0,2836152.0
231437.0,2837152.0
231437.0,2838152.0
231437.0,2839152.0
231437.0,2840152.0
231437.0,2841152.0
231437.0,2842152.0
231437.0,2843152.0
231437.0,2844152.0
231437.0,2845152.0
231437.0,2846152.0
231437.0,2847152.0
231437.0,2848152.0
231437.0,2849152.0
231437.0,2850152.0
231437.0,2851152.0
231437.0,2852152.0
231437.0,2853152.0
231437.0,2854152.0
231437.0,2855152.0
231437.0,2856152.0
231437.0,2857152.0
231437.0,2858152.0
231437.0,2859152.0
231437.0,2860152.0
231437.0,2861152.0
231437.0,2862152.0
231437.0,2863152.0
231437.0,2864152.0
231437.0,2865152.0
231437.0,2866152.0
231437.0,2923152.0
232437.0,2789152.0
232437.0,2790152.0
232437.0,2791152.0
232437.0,2792152.0
232437.0,2793152.0
232437.0,2794152.0
232437.0,2795152.0
232437.0,2796152.0
232437.0,2797152.0
232437.0,2798152.0
232437.0,2799152.0
232437.0,2800152.0
232437.0,2801152.0
232437.0,2802152.0
232437.0,2803152.0
232437.0,2804152.0
232437.0,2805152.0
232437.0,2806152.0
232437.0,2807152.0
232437.0,2808152.0
232437.0,2809152.0
232437.0,2810152.0
232437.0,2811152.0
232437.0,2812152.0
232437.0,2813152.0
232437.0,2814152.0
232437.0,2815152.0
232437.0,2816152.0
232437.0,2817152.0
232437.0,2818152.0
232437.0,2819152.0
232437.0,2820152.0
232437.0,2821152.0
232437.0,2822152.0
232437.0,2823152.0
232437.0,2824152.0
232437.0,2825152.0
232437.0,2826152.0
232437.0,2827152.0
232437.0,2828152.0
232437.0,2829152.0
232437.0,2830152.0
232437.0,2831152.0
232437.0,2832152.0
232437.0,2833152.0
232437.0,2834152.0
232437.0,2835152.0
232437.0,2836152.0
232437.0,2837152.0
232437.0,2838152.0
232437.0,2839152.0
232437.0,2840152.0
232437.0,2841152.0
232437.0,2842152.0
232437.0,2843152.0
232437.0,2844152.0
232437.0,2845152.0
232437.0,2846152.0
232437.0,2847152.0
232437.0,2848152.0
232437.0,2849152.0
232437.0,2850152.0
232437.0,2851152.0
232437.0,2852152.0
232437.0,2853152.0
232437.0,2854152.0
232437.0,2855152.0
232437.0,2856152.0
232437.0,2857152.0
232437.0,2858152.0
232437.0,2859152.0
232437.0,2860152.0
232437.0,2861152.0
232437.0,2862152.0
232437.0,2863152.0
232437.0,2864152.0
232437.0,2865152.0
232437.0,2866152.0
232437.0,2867152.0
232437.0,2923152.0
232437.0,2924152.0
233437.0,2788152.0
233437.0,2789152.0
233437.0,2790152.0
233437.0,2791152.0
233437.0,2792152.0
233437.0,2793152.0
233437.0,2794152.0
233437.0,2795152.0
233437.0,2796152.0
233437.0,2797152.0
233437.0,2798152.0
233437.0,2799152.0
233437.0,2800152.0
233437.0,2801152.0
233437.0,2802152.0
233437.0,2803152.0
233437.0,2804152.0
233437.0,2805152.0
233437.0,2806152.0
233437.0,2807152.0
233437.0,2808152.0
233437.0,2809152.0
233437.0,2810152.0
233437.0,2811152.0
233437.0,2812152.0
233437.0,2813152.0
233437.0,2814152.0
233437.0,2815152.0
233437.0,2816152.0
233437.0,2817152.0
233437.0,2818152.0
233437.0,2819152.0
233437.0,2820152.0
233437.0,2821152.0
233437.0,2822152.0
233437.0,2823152.0
233437.0,2824152.0
233437.0,2825152.0
233437.0,2826152.0
233437.0,2827152.0
233437.0,2828152.0
233437.0,2829152.0
233437.0,2830152.0
233437.0,2831152.0
233437.0,2832152.0
233437.0,2833152.0
233437.0,2834152.0
233437.0,2835152.0
233437.0,2836152.0
233437.0,2837152.0
233437.0,2838152.0
233437.0,2839152.0
233437.0,2840152.0
233437.0,2841152.0
233437.0,2842152.0
233437.0,2843152.0
233437.0,2844152.0
233437.0,2845152.0
233437.0,2846152.0
233437.0,2847152.0
233437.0,2848152.0
233437.0,2849152.0
233437.0,2850152.0
233437.0,2851152.0
233437.0,2852152.0
233437.0,2853152.0
233437.0,2854152.0
233437.0,2855152.0
233437.0,2856152.0
233437.0,2857152.0
233437.0,2858152.0
233437.0,2859152.0
233437.0,2860152.0
233437.0,2861152.0
233437.0,2862152.0
233437.0,2863152.0
233437.0,2864152.0
233437.0,2865152.0
233437.0,2866152.0
233437.0,2867152.0
233437.0,2868152.0
233437.0,2869152.0
233437.0,2922152.0
233437.0,2923152.0
233437.0,2924152.0
234437.0,2785152.0
234437.0,2786152.0
234437.0,2787152.0
234437.0,2788152.0
234437.0,2789152.0
234437.0,2790152.0
234437.0,2791152.0
234437.0,2792152.0
234437.0,2793152.0
234437.0,2794152.0
234437.0,2795152.0
234437.0,2796152.0
234437.0,2797152.0
234437.0,2798152.0
234437.0,2799152.0
234437.0,2800152.0
234437.0,2801152.0
234437.0,2802152.0
234437.0,2803152.0
234437.0,2804152.0
234437.0,2805152.0
234437.0,2806152.0
234437.0,2807152.0
234437.0,2808152.0
234437.0,2809152.0
234437.0,2810152.0
234437.0,2811152.0
234437.0,2812152.0
234437.0,2813152.0
234437.0,2814152.0
234437.0,2815152.0
234437.0,2816152.0
234437.0,2817152.0
234437.0,2818152.0
234437.0,2819152.0
234437.0,2820152.0
234437.0,2821152.0
234437.0,2822152.0
234437.0,2823152.0
234437.0,2824152.0
234437.0,2825152.0
234437.0,2826152.0
234437.0,2827152.0
234437.0,2828152.0
234437.0,2829152.0
234437.0,2830152.0
234437.0,2831152.0
234437.0,2832152.0
234437.0,2833152.0
234437.0,2834152.0
234437.0,2835152.0
234437.0,2836152.0
234437.0,2837152.0
234437.0,2838152.0
